file_name	synthego_barcode	mother_barcode	source_barcode	mother_well	daughter_barcode	dest_barcode	plate	imaging_barcode	imaging_well	gene_symbol
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	G14	HT000645	dest_plate_1	1	HT001454	O14	DICER1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	G14	HT000645	dest_plate_1	1	HT001457	O14	DICER1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	E14	HT000645	dest_plate_1	1	HT001451	N8	DGCR8
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	E14	HT000645	dest_plate_1	1	HT001454	N8	DGCR8
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	E14	HT000645	dest_plate_1	1	HT001457	N8	DGCR8
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B14	HT000645	dest_plate_1	1	HT001451	I7	DDX21
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B14	HT000645	dest_plate_1	1	HT001454	I7	DDX21
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B14	HT000645	dest_plate_1	1	HT001457	I7	DDX21
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	I14	HT000645	dest_plate_1	1	HT001451	B11	DMAP1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	I14	HT000645	dest_plate_1	1	HT001454	B11	DMAP1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	I14	HT000645	dest_plate_1	1	HT001457	B11	DMAP1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	G15	HT000645	dest_plate_1	1	HT001451	G6	DSCC1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	G15	HT000645	dest_plate_1	1	HT001454	G6	DSCC1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	G15	HT000645	dest_plate_1	1	HT001457	G6	DSCC1
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K15	HT000645	dest_plate_1	1	HT001451	H6	EED
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K15	HT000645	dest_plate_1	1	HT001454	H6	EED
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	K15	HT000645	dest_plate_1	1	HT001457	H6	EED
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J15	HT000645	dest_plate_1	1	HT001451	M10	DYDC2
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J15	HT000645	dest_plate_1	1	HT001454	M10	DYDC2
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	J15	HT000645	dest_plate_1	1	HT001457	M10	DYDC2
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B15	HT000645	dest_plate_1	1	HT001451	M14	DOT1L
Source_files/EPR_384_layout_set_1_qc.csv	set_1	HT000609	source_plate_1	B15	HT000645	dest_plate_1	1	HT001454	M14	DOT1L
