plate_index,well_index,row,column,cells_n,nuc_area,nuc_round,nuc_micronuclei_n,spots_561_n,spots_561_area,spots_561_int_mean,spots_561_int_sum
HT001451,C10,3,10,788,174.359917513,0.913923458404,0.220812182741,5.70431472081,164.555837563,1043.53903042,167920.214467
HT001451,C11,3,11,1063,177.438646393,0.915352512407,0.201317027281,6.04703668862,174.514581373,733.301850134,128406.667921
HT001451,C12,3,12,705,167.50218201,0.923033535939,0.137588652482,5.51773049645,159.260992908,849.905547398,144451.293617
HT001451,C13,3,13,841,179.289000972,0.924484527354,0.136741973841,6.35077288942,183.309155767,847.360446595,160590.241379
HT001451,C14,3,14,826,178.607982376,0.918977559167,0.23607748184,6.94915254237,200.328087167,748.449960753,156755.848668
HT001451,C15,3,15,767,175.327272509,0.921993628295,0.22816166884,6.23076923077,179.537157757,726.30229105,139185.617992
HT001451,C16,3,16,792,181.379086549,0.920851922474,0.217171717172,5.78535353535,166.869949495,854.48897013,145309.247475
HT001451,C17,3,17,513,186.574312486,0.92658662673,0.282651072125,6.79337231969,195.777777778,820.906726927,170317.775828
HT001451,C18,3,18,818,182.166498911,0.920978481528,0.257946210269,6.70171149144,193.265281174,781.040596097,152217.608802
HT001451,C19,3,19,802,178.283187395,0.921483346391,0.187032418953,6.89650872818,198.993765586,773.3365692,156974.026185
HT001451,C20,3,20,405,195.749074947,0.910539144036,0.508641975309,6.21481481481,178.962962963,822.720821637,161449.414815
HT001451,C21,3,21,618,180.341266193,0.921214674475,0.28640776699,6.31553398058,181.991909385,887.325622264,161459.482201
HT001451,C22,3,22,85,233.3678116,0.883386434588,0.2,5.6,161.341176471,1398.90157882,217622.894118
HT001451,C23,3,23,565,192.542400209,0.918086778885,0.352212389381,5.9185840708,170.851327434,1608.33209361,301371.842478
HT001451,D2,4,2,1030,179.272866096,0.915931007723,0.152427184466,5.86116504854,169.057281553,807.504391105,136666.827184
HT001451,D3,4,3,1079,175.348358875,0.913339325035,0.157553290083,6.66635773865,192.012048193,750.578756475,149053.899907
HT001451,D4,4,4,728,163.689151785,0.910760484114,0.229395604396,5.35027472527,154.34478022,789.938726057,127042.53022
HT001451,D5,4,5,825,175.677419043,0.913909440631,0.156363636364,6.4303030303,185.389090909,744.041457119,141781.4
HT001451,D6,4,6,887,173.29967601,0.92353574189,0.157835400225,6.29988726043,181.665163472,812.70686348,153462.910936
HT001451,D7,4,7,665,184.516301673,0.918761061581,0.267669172932,6.51428571429,187.911278195,845.325122583,159017
HT001451,D8,4,8,793,182.288292994,0.916239347767,0.249684741488,6.93820933165,200.192938209,843.692618914,169328.64691
HT001451,D9,4,9,696,183.448651093,0.917410586017,0.201149425287,7.10488505747,204.95545977,797.105212648,169528.795977
HT001451,D10,4,10,722,183.145637378,0.925275271908,0.257617728532,6.87534626039,198.225761773,757.67182102,162887.157895
HT001451,D11,4,11,784,189.403978554,0.921980803363,0.151785714286,6.45153061224,186.085459184,724.148403136,139774.67602
HT001451,D12,4,12,688,180.814754169,0.919617199829,0.196220930233,7.44331395349,214.822674419,791.269233986,170646.1875
HT001451,D13,4,13,1057,183.268927089,0.922235200912,0.191106906339,6.93661305582,200.234626301,896.997560907,185629.924314
