Run ID,1579271408
Run Date/Time,2020-01-17 09:40:40
Application Name,Labcyte Echo Cherry Pick
Application Version,1.6.5
Protocol Name,200114_Synthego_Reformatting_Random.ecp
Compound Pick List File Name,C:\Users\nci-lrbge_HCS\Documents\R\R_Scripts\191125_CRISPR_Epigenetics_Reformat\Output\sgRNA_Epigenetics_Library.csv
Control Pick List File Name,
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Well,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O18,Destination Plate[1],dest_plate_1,I12,1300,1300,52.966,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D18,Destination Plate[1],dest_plate_1,B8,1300,1300,51.975,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E19,Destination Plate[1],dest_plate_1,C8,1300,1300,53.131,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C19,Destination Plate[1],dest_plate_1,B10,1300,1300,53.275,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G19,Destination Plate[1],dest_plate_1,B14,1300,1300,52.243,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L19,Destination Plate[1],dest_plate_1,D17,1300,1300,50.364,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K19,Destination Plate[1],dest_plate_1,D10,1300,1300,53.75,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B19,Destination Plate[1],dest_plate_1,H15,1300,1300,51.748,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F19,Destination Plate[1],dest_plate_1,M19,1300,1300,52.408,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D19,Destination Plate[1],dest_plate_1,N3,1300,1300,50.633,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F20,Destination Plate[1],dest_plate_1,H9,1300,1300,52.037,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H20,Destination Plate[1],dest_plate_1,E8,1300,1300,51.727,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G20,Destination Plate[1],dest_plate_1,G16,1300,1300,52.408,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N20,Destination Plate[1],dest_plate_1,J10,1300,1300,53.358,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L21,Destination Plate[1],dest_plate_1,K16,1300,1300,50.241,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H21,Destination Plate[1],dest_plate_1,O21,1300,1300,51.892,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B21,Destination Plate[1],dest_plate_1,J13,1300,1300,53.255,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D21,Destination Plate[1],dest_plate_1,E5,1300,1300,51.686,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B22,Destination Plate[1],dest_plate_1,F13,1300,1300,53.234,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N22,Destination Plate[1],dest_plate_1,D7,1300,1300,51.995,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J22,Destination Plate[1],dest_plate_1,N20,1300,1300,52.016,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M23,Destination Plate[1],dest_plate_1,H21,1300,1300,51.603,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L23,Destination Plate[1],dest_plate_1,G14,1300,1300,51.954,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K23,Destination Plate[1],dest_plate_1,B17,1300,1300,50.592,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D23,Destination Plate[1],dest_plate_1,F11,1300,1300,51.975,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E23,Destination Plate[1],dest_plate_1,K12,1300,1300,52.016,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C23,Destination Plate[1],dest_plate_1,J19,1300,1300,52.821,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F23,Destination Plate[1],dest_plate_1,F6,1300,1300,50.323,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G23,Destination Plate[1],dest_plate_1,G3,1300,1300,51.748,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N23,Destination Plate[1],dest_plate_1,K8,1300,1300,48.94,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M9,Destination Plate[1],dest_plate_1,L3,1300,1300,51.252,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I9,Destination Plate[1],dest_plate_1,O4,1300,1300,51.83,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J9,Destination Plate[1],dest_plate_1,N19,1300,1300,49.931,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D9,Destination Plate[1],dest_plate_1,B12,1300,1300,51.087,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B8,Destination Plate[1],dest_plate_1,H8,1300,1300,53.833,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G8,Destination Plate[1],dest_plate_1,E6,1300,1300,52.511,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D8,Destination Plate[1],dest_plate_1,M5,1300,1300,53.482,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C8,Destination Plate[1],dest_plate_1,N14,1300,1300,51.83,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N8,Destination Plate[1],dest_plate_1,O9,1300,1300,52.326,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K7,Destination Plate[1],dest_plate_1,J12,1300,1300,54.225,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M7,Destination Plate[1],dest_plate_1,C9,1300,1300,47.02,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F7,Destination Plate[1],dest_plate_1,M7,1300,1300,49.786,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B7,Destination Plate[1],dest_plate_1,K19,1300,1300,51.933,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F6,Destination Plate[1],dest_plate_1,L9,1300,1300,54.266,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D6,Destination Plate[1],dest_plate_1,F9,1300,1300,53.44,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C6,Destination Plate[1],dest_plate_1,F4,1300,1300,53.069,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I6,Destination Plate[1],dest_plate_1,G7,1300,1300,51.603,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M6,Destination Plate[1],dest_plate_1,C3,1300,1300,51.954,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I5,Destination Plate[1],dest_plate_1,D2,1300,1300,53.358,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G5,Destination Plate[1],dest_plate_1,E11,1300,1300,50.881,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C5,Destination Plate[1],dest_plate_1,H19,1300,1300,53.172,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E5,Destination Plate[1],dest_plate_1,K20,1300,1300,49.353,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O5,Destination Plate[1],dest_plate_1,M4,1300,1300,53.069,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M4,Destination Plate[1],dest_plate_1,C18,1300,1300,53.729,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K4,Destination Plate[1],dest_plate_1,B16,1300,1300,51.768,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B4,Destination Plate[1],dest_plate_1,E13,1300,1300,52.264,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J3,Destination Plate[1],dest_plate_1,C17,1300,1300,49.89,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K3,Destination Plate[1],dest_plate_1,H20,1300,1300,52.057,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F2,Destination Plate[1],dest_plate_1,E18,1300,1300,53.048,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G2,Destination Plate[1],dest_plate_1,G12,1300,1300,52.016,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J2,Destination Plate[1],dest_plate_1,C11,1300,1300,51.293,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E2,Destination Plate[1],dest_plate_1,E7,1300,1300,52.264,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I2,Destination Plate[1],dest_plate_1,H5,1300,1300,51.665,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L2,Destination Plate[1],dest_plate_1,K3,1300,1300,54.142,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O2,Destination Plate[1],dest_plate_1,L13,1300,1300,50.303,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D2,Destination Plate[1],dest_plate_1,N12,1300,1300,49.229,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B11,Destination Plate[2],dest_plate_2,O18,1300,1300,49.064,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C11,Destination Plate[2],dest_plate_2,O20,1300,1300,51.19,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E11,Destination Plate[2],dest_plate_2,J15,1300,1300,53.482,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D11,Destination Plate[2],dest_plate_2,G12,1300,1300,51.355,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I10,Destination Plate[2],dest_plate_2,F8,1300,1300,52.511,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H10,Destination Plate[2],dest_plate_2,M13,1300,1300,52.119,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J10,Destination Plate[2],dest_plate_2,I18,1300,1300,52.181,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C10,Destination Plate[2],dest_plate_2,I19,1300,1300,52.016,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N10,Destination Plate[2],dest_plate_2,O2,1300,1300,53.275,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F9,Destination Plate[2],dest_plate_2,D4,1300,1300,50.798,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K9,Destination Plate[2],dest_plate_2,H13,1300,1300,50.881,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G9,Destination Plate[2],dest_plate_2,M15,1300,1300,50.282,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C9,Destination Plate[2],dest_plate_2,J18,1300,1300,50.736,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H9,Destination Plate[2],dest_plate_2,I21,1300,1300,52.408,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O9,Destination Plate[2],dest_plate_2,M20,1300,1300,51.975,100,,AQ,
