Wells: 384
Plates: 4
Plate	Well	Content
*	*	empty
*	[C,E,G,I,K,M,O]22	killer
*	[B,D,F,H,J,L,N]22	neg
*	[C,E,G,I,K,M,O]23	pos
*	[B,D,F,H,J,L,N]23	pos2
2	G07	sample
2	G08	sample
2	G09	sample
2	G10	sample
2	G11	sample
2	G12	sample
2	G13	sample
2	G14	sample
2	G15	sample
2	G16	sample
2	G17	sample
2	G18	sample
2	G19	sample
2	G20	sample
2	G21	sample
2	H02	sample
2	H03	sample
2	H04	sample
2	H05	sample
2	H06	sample
2	H07	sample
2	H08	sample
2	H09	sample
2	H10	sample
2	H11	sample
2	H12	sample
2	H13	sample
2	H14	sample
2	H15	sample
2	H16	sample
2	H17	sample
2	H18	sample
2	H19	sample
2	H20	sample
2	H21	sample
2	I02	sample
2	I03	sample
2	I04	sample
2	I05	sample
2	I06	sample
2	I07	sample
2	I08	sample
2	I09	sample
2	I10	sample
2	I11	sample
2	I12	sample
2	I13	sample
2	I14	sample
2	I15	sample
2	I16	sample
2	I17	sample
2	I18	sample
2	I19	sample
2	I20	sample
2	I21	sample
2	J02	sample
2	J03	sample
2	J04	sample
2	J05	sample
2	J06	sample
2	J07	sample
2	J08	sample
2	J09	sample
2	J10	sample
2	J11	sample
2	J12	sample
2	J13	sample
2	J14	sample
2	J15	sample
2	J16	sample
2	J17	sample
2	J18	sample
2	J19	sample
2	J20	sample
2	J21	sample
2	K02	sample
2	K03	sample
2	K04	sample
2	K05	sample
2	K06	sample
2	K07	sample
2	K08	sample
2	K09	sample
2	K10	sample
2	K11	sample
2	K12	sample
2	K13	sample
2	K14	sample
2	K15	sample
2	K16	sample
2	K17	sample
2	K18	sample
2	K19	sample
2	K20	sample
2	K21	sample
2	L02	sample
2	L03	sample
2	L04	sample
2	L05	sample
2	L06	sample
2	L07	sample
2	L08	sample
2	L09	sample
2	L10	sample
2	L11	sample
2	L12	sample
2	L13	sample
2	L14	sample
2	L15	sample
2	L16	sample
2	L17	sample
2	L18	sample
2	L19	sample
2	L20	sample
2	L21	sample
2	M02	sample
2	M03	sample
2	M04	sample
2	M05	sample
2	M06	sample
2	M07	sample
2	M08	sample
2	M09	sample
2	M10	sample
2	M11	sample
2	M12	sample
2	M13	sample
2	M14	sample
2	M15	sample
2	M16	sample
2	M17	sample
2	M18	sample
2	M19	sample
2	M20	sample
2	M21	sample
2	N02	sample
2	N03	sample
2	N04	sample
2	N05	sample
2	N06	sample
2	N07	sample
2	N08	sample
2	N09	sample
2	N10	sample
2	N11	sample
2	N12	sample
2	N13	sample
2	N14	sample
2	N15	sample
2	N16	sample
2	N17	sample
2	N18	sample
2	N19	sample
2	N20	sample
2	N21	sample
2	O02	sample
2	O03	sample
2	O04	sample
2	O05	sample
2	O06	sample
2	O07	sample
2	O08	sample
2	O09	sample
2	O10	sample
2	O11	sample
2	O12	sample
2	O13	sample
2	O14	sample
2	O15	sample
2	O16	sample
2	O17	sample
2	O18	sample
2	O19	sample
2	O20	sample
2	O21	sample
3	B02	sample
3	B03	sample
3	B04	sample
3	B05	sample
3	B06	sample
3	B07	sample
3	B08	sample
3	B09	sample
3	B10	sample
3	B11	sample
3	B12	sample
3	B13	sample
3	B14	sample
3	B15	sample
3	B16	sample
3	B17	sample
3	B18	sample
3	B19	sample
3	B20	sample
3	C02	sample
3	C03	sample
3	C04	sample
3	C05	sample
3	C06	sample
3	C07	sample
3	C08	sample
3	C09	sample
3	C10	sample
3	C11	sample
3	C12	sample
3	C13	sample
3	C14	sample
3	C15	sample
3	C16	sample
3	C17	sample
3	C18	sample
