Plate	Well2	GeneSymbol	Well	GeneID
1	J21	NUP50	J21	N/A
1	K2	EP300	K02	N/A
1	K3	AGO4	K03	N/A
1	K4	UCHL5	K04	N/A
1	K5	TET3	K05	N/A
1	K6	SLF2	K06	N/A
1	K7	KDM7A	K07	N/A
1	K8	HIST1H4E	K08	N/A
1	K9	HMG20A	K09	N/A
1	K10	TSN	K10	N/A
1	K11	NAP1L4	K11	N/A
1	K12	HIST1H3F	K12	N/A
1	K13	SMARCB1	K13	N/A
1	K14	PHF13	K14	N/A
1	K15	HMGN4	K15	N/A
1	K16	HIST1H1B	K16	N/A
1	K17	TRIM71	K17	N/A
1	K18	YY1	K18	N/A
1	K19	BRD1	K19	N/A
1	K20	ATR	K20	N/A
1	K21	PBRM1	K21	N/A
1	L2	PABPC1L	L02	N/A
1	L3	CENPL	L03	N/A
1	L4	PARP2	L04	N/A
1	L5	ING2	L05	N/A
1	L6	INCENP	L06	N/A
1	L7	ZFP57	L07	N/A
1	L8	KANSL3	L08	N/A
1	L9	BAZ2B	L09	N/A
1	L10	LIN28B	L10	N/A
1	L11	RNF8	L11	N/A
1	L12	SMARCA4	L12	N/A
1	L13	AJUBA	L13	N/A
1	L14	HIST1H4I	L14	N/A
1	L15	CLOCK	L15	N/A
1	L16	FANCM	L16	N/A
1	L17	TOP2B	L17	N/A
1	L18	HYPM	L18	N/A
1	L19	NAP1L5	L19	N/A
1	L20	PRMT3	L20	N/A
1	L21	PHF21B	L21	N/A
1	M2	ELOF1	M02	N/A
1	M3	MPG	M03	N/A
1	M4	BANP	M04	N/A
1	M5	CBX5	M05	N/A
1	M6	NDC1	M06	N/A
1	M7	BRD7	M07	N/A
1	M8	PPM1D	M08	N/A
1	M9	KDM4D	M09	N/A
1	M10	DYDC2	M10	N/A
1	M11	DAXX	M11	N/A
1	M12	PRMT8	M12	N/A
1	M13	RCOR1	M13	N/A
1	M14	DOT1L	M14	N/A
1	M15	TDRD9	M15	N/A
1	M16	ELAVL1	M16	N/A
1	M17	PARP4	M17	N/A
1	M18	PML	M18	N/A
1	M19	H1FOO	M19	N/A
1	M20	NUP43	M20	N/A
1	M21	USP3	M21	N/A
1	N2	POLR2F	N02	N/A
1	N3	GTF2H5	N03	N/A
1	N4	CITED2	N04	N/A
1	N5	SAP30L	N05	N/A
1	N6	PDS5B	N06	N/A
1	N7	PIH1D1	N07	N/A
1	N8	DGCR8	N08	N/A
1	N9	SMCHD1	N09	N/A
1	N10	ING5	N10	N/A
1	N11	GIGYF2	N11	N/A
1	N12	ACTR5	N12	N/A
1	N13	SMC1A	N13	N/A
1	N14	CBX4	N14	N/A
1	N15	MCRS1	N15	N/A
1	N16	RIOX1	N16	N/A
1	N17	NIPBL	N17	N/A
1	N18	NAP1L3	N18	N/A
1	N19	CENPH	N19	N/A
1	N20	HIST1H2AJ	N20	N/A
1	N21	MSL1	N21	N/A
1	O2	CREBZF	O02	N/A
1	O3	PRDM9	O03	N/A
1	O4	CENPF	O04	N/A
1	O5	SMARCA5	O05	N/A
1	O6	TET2	O06	N/A
1	O7	ESR1	O07	N/A
1	O8	CNOT6	O08	N/A
1	O9	CDK1	O09	N/A
1	O10	MYO1C	O10	N/A
1	O11	SMYD1	O11	N/A
1	O12	POLR1E	O12	N/A
1	O13	KDM3A	O13	N/A
1	O14	DICER1	O14	N/A
1	O15	KDM2A	O15	N/A
1	O16	NUP205	O16	N/A
1	O17	CHD1L	O17	N/A
1	O18	CENPO	O18	N/A
1	O19	MSL2	O19	N/A
1	O20	KMT5C	O20	N/A
1	O21	HIPK4	O21	N/A
2	B2	MBD2	B02	N/A
2	B3	PCNA	B03	N/A
2	B4	KAT7	B04	N/A
2	B5	PHF8	B05	N/A
2	B6	DNMT3B	B06	N/A
2	B7	USP49	B07	N/A
2	B8	LEMD2	B08	N/A
2	B9	HIST1H1A	B09	N/A
2	B10	HMGB2	B10	N/A
2	B11	NSD1	B11	N/A
2	B12	FAM60A	B12	N/A
2	B13	TNRC6A	B13	N/A
2	B14	TDRD5	B14	N/A
2	B15	ERCC6	B15	N/A
2	B16	NMNAT1	B16	N/A
2	B17	BEND3	B17	N/A
2	B18	PCGF1	B18	N/A
2	B19	SENP1	B19	N/A
2	B20	TAF1A	B20	N/A
2	B21	BMI1	B21	N/A
2	C2	LEO1	C02	N/A
2	C3	BRMS1L	C03	N/A
2	C4	SMARCC2	C04	N/A
2	C5	PARP9	C05	N/A
2	C6	TBL1XR1	C06	N/A
2	C7	ZNRD1	C07	N/A
2	C8	HJURP	C08	N/A
2	C9	NCBP1	C09	N/A
2	C10	HNRNPC	C10	N/A
2	C11	WDR61	C11	N/A
2	C12	ING3	C12	N/A
2	C13	UBN1	C13	N/A
2	C14	L3MBTL3	C14	N/A
2	C15	EXO1	C15	N/A
2	C16	SF3B1	C16	N/A
2	C17	KDM3B	C17	N/A
2	C18	DNMT3A	C18	N/A
2	C19	WDR82	C19	N/A
2	C20	SEH1L	C20	N/A
2	C21	XPO5	C21	N/A
2	D2	APOBEC1	D02	N/A
2	D3	ANP32B	D03	N/A
2	D4	CENPA	D04	N/A
2	D5	BRD2	D05	N/A
2	D6	KMT5B	D06	N/A
2	D7	TMPO	D07	N/A
2	D8	LRWD1	D08	N/A
2	D9	SMYD2	D09	N/A
2	D10	SMYD3	D10	N/A
2	D11	HIST1H2AL	D11	N/A
2	D12	TSPY3	D12	N/A
2	D13	TDRD3	D13	N/A
2	D14	NUP214	D14	N/A
2	D15	TNRC18	D15	N/A
2	D16	SAP18	D16	N/A
2	D17	DND1	D17	N/A
2	D18	L3MBTL4	D18	N/A
2	D19	NEIL2	D19	N/A
2	D20	PARP15	D20	N/A
2	D21	KDM4C	D21	N/A
2	E2	ERCC3	E02	N/A
2	E3	APOBEC3H	E03	N/A
2	E4	MBD4	E04	N/A
2	E5	HMG20B	E05	N/A
2	E6	SETDB2	E06	N/A
2	E7	HIST1H3I	E07	N/A
2	E8	RBBP5	E08	N/A
2	E9	DYDC1	E09	N/A
2	E10	SUMO1	E10	N/A
2	E11	ALKBH3	E11	N/A
2	E12	KAT5	E12	N/A
2	E13	H2AFZ	E13	N/A
2	E14	UBE2I	E14	N/A
2	E15	ZFP36	E15	N/A
2	E16	NFKB1	E16	N/A
2	E17	PRMT7	E17	N/A
2	E18	SUPT5H	E18	N/A
2	E19	HDAC3	E19	N/A
2	E20	JMJD6	E20	N/A
2	E21	H2AFB1	E21	N/A
2	F2	CCNH	F02	N/A
2	F3	ARID1A	F03	N/A
2	F4	ESCO2	F04	N/A
2	F5	SATB1	F05	N/A
2	F6	MECP2	F06	N/A
2	F7	ATAD2	F07	N/A
2	F8	CHAF1A	F08	N/A
2	F9	NKAP	F09	N/A
2	F10	POLR2L	F10	N/A
2	F11	MYBBP1A	F11	N/A
2	F12	HNRNPA2B1	F12	N/A
2	F13	POGZ	F13	N/A
2	F14	SAFB	F14	N/A
2	F15	RTF1	F15	N/A
2	F16	APOBEC3G	F16	N/A
2	F17	POLE3	F17	N/A
2	F18	OGG1	F18	N/A
2	F19	TIPARP	F19	N/A
2	F20	CNOT7	F20	N/A
2	F21	KAT2B	F21	N/A
2	G2	RNF2	G02	N/A
2	G3	PHF20	G03	N/A
2	G4	APOBEC3F	G04	N/A
2	G5	SUMO3	G05	N/A
2	G6	PHF1	G06	N/A
2	G7	AHCTF1	G07	N/A
2	G8	HDAC1	G08	N/A
2	G9	RBBP7	G09	N/A
2	G10	HDAC11	G10	N/A
2	G11	KMT2A	G11	N/A
2	G12	CHD7	G12	N/A
2	G13	SETD3	G13	N/A
2	G14	KCNQ1	G14	N/A
2	G15	SPOUT1	G15	N/A
2	G16	TIMELESS	G16	N/A
2	G17	MED25	G17	N/A
2	G18	RANBP2	G18	N/A
2	G19	WAC	G19	N/A
2	G20	PKN1	G20	N/A
2	G21	SETMAR	G21	N/A
2	H2	HDAC9	H02	N/A
2	H3	HIST1H1D	H03	N/A
2	H4	RUVBL1	H04	N/A
2	H5	BCDIN3D	H05	N/A
2	H6	NUP210	H06	N/A
2	H7	BRCA1	H07	N/A
2	H8	TSPY4	H08	N/A
2	H9	SUZ12	H09	N/A
2	H10	POLR2B	H10	N/A
2	H11	SIRT6	H11	N/A
2	H12	CDC73	H12	N/A
2	H13	CENPI	H13	N/A
2	H14	PPP1R10	H14	N/A
2	H15	H2BFWT	H15	N/A
2	H16	DHX9	H16	N/A
2	H17	PHC1	H17	N/A
2	H18	PCGF2	H18	N/A
2	H19	SNIP1	H19	N/A
2	H20	DNMT3L	H20	N/A
2	H21	MBD1	H21	N/A
2	I2	CBX6	I02	N/A
2	I3	TFAP2C	I03	N/A
2	I4	NEIL1	I04	N/A
2	I5	HIST1H4F	I05	N/A
2	I6	TBL1X	I06	N/A
2	I7	HIST1H1E	I07	N/A
2	I8	AURKB	I08	N/A
2	I9	TNRC6B	I09	N/A
2	I10	POLQ	I10	N/A
2	I11	NUP133	I11	N/A
2	I12	RBBP4	I12	N/A
2	I13	CDCA5	I13	N/A
2	I14	MBD3L1	I14	N/A
2	I15	VRK1	I15	N/A
2	I16	MBD3L5	I16	N/A
2	I17	TSPY8	I17	N/A
2	I18	CHAF1B	I18	N/A
2	I19	CENPP	I19	N/A
2	I20	EIF1	I20	N/A
2	I21	CENPC	I21	N/A
2	J2	UTY	J02	N/A
2	J3	AGO3	J03	N/A
2	J4	CREBBP	J04	N/A
2	J5	NCOA5	J05	N/A
2	J6	HMGA2	J06	N/A
2	J7	SWI5	J07	N/A
2	J8	USP51	J08	N/A
2	J9	HIST1H2AG	J09	N/A
2	J10	DROSHA	J10	N/A
2	J11	NCOA2	J11	N/A
2	J12	HIST1H4H	J12	N/A
2	J13	SMAD3	J13	N/A
2	J14	H2AFB3	J14	N/A
2	J15	CHD8	J15	N/A
2	J16	MEN1	J16	N/A
2	J17	PIWIL2	J17	N/A
2	J18	CDYL	J18	N/A
2	J19	USP22	J19	N/A
2	J20	NUP188	J20	N/A
2	J21	DNMT1	J21	N/A
2	K2	SETD6	K02	N/A
2	K3	HIST2H2AB	K03	N/A
2	K4	TTF1	K04	N/A
2	K5	KDM4B	K05	N/A
2	K6	HIST3H2A	K06	N/A
2	K7	BRMS1	K07	N/A
2	K8	AUTS2	K08	N/A
2	K9	MTRR	K09	N/A
2	K10	CBX2	K10	N/A
2	K11	NUP35	K11	N/A
2	K12	RNF20	K12	N/A
2	K13	ELP4	K13	N/A
2	K14	PPP3CA	K14	N/A
2	K15	RCC1	K15	N/A
2	K16	KANSL1	K16	N/A
2	K17	MLH1	K17	N/A
2	K18	HIST1H2AD	K18	N/A
2	K19	PLK1	K19	N/A
2	K20	DNTTIP1	K20	N/A
2	K21	SPTY2D1	K21	N/A
2	L2	POLR2G	L02	N/A
2	L3	STAT3	L03	N/A
2	L4	UPF1	L04	N/A
2	L5	SUPT6H	L05	N/A
2	L6	PRMT1	L06	N/A
2	L7	TSPYL4	L07	N/A
2	L8	MEIOB	L08	N/A
2	L9	PRMT6	L09	N/A
2	L10	SIN3A	L10	N/A
2	L11	ZC3H10	L11	N/A
2	L12	TSPYL5	L12	N/A
2	L13	NSD3	L13	N/A
2	L14	POLR2A	L14	N/A
2	L15	HIST2H2AC	L15	N/A
2	L16	KDM6A	L16	N/A
2	L17	TTC5	L17	N/A
2	L18	EPC2	L18	N/A
2	L19	HIST1H3J	L19	N/A
2	L20	RAG2	L20	N/A
2	L21	KDM5C	L21	N/A
2	M2	ARID4A	M02	N/A
2	M3	TET1	M03	N/A
2	M4	TFPT	M04	N/A
2	M5	RIF1	M05	N/A
2	M6	ASF1A	M06	N/A
2	M7	H2AFB2	M07	N/A
2	M8	HIC1	M08	N/A
2	M9	ATRX	M09	N/A
2	M10	HIRA	M10	N/A
2	M11	HDAC7	M11	N/A
2	M12	ZNF304	M12	N/A
2	M13	CENPW	M13	N/A
2	M14	HP1BP3	M14	N/A
2	M15	CENPB	M15	N/A
2	M16	KDM2B	M16	N/A
2	M17	RUVBL2	M17	N/A
2	M18	ASH2L	M18	N/A
2	M19	LIN28A	M19	N/A
2	M20	CENPN	M20	N/A
2	M21	TDRD1	M21	N/A
2	N2	TSPYL2	N02	N/A
2	N3	TRIM27	N03	N/A
2	N4	ACTB	N04	N/A
2	N5	HIST1H3B	N05	N/A
2	N6	METTL3	N06	N/A
2	N7	UBR2	N07	N/A
2	N8	CD3EAP	N08	N/A
2	N9	HDAC10	N09	N/A
2	N10	BABAM1	N10	N/A
2	N11	PRDM7	N11	N/A
2	N12	PARP1	N12	N/A
2	N13	TGFB1	N13	N/A
2	N14	PLK2	N14	N/A
2	N15	NTHL1	N15	N/A
2	N16	FAM111A	N16	N/A
2	N17	SMARCAD1	N17	N/A
2	N18	APOBEC3A	N18	N/A
2	N19	POLD1	N19	N/A
2	N20	POLR2H	N20	N/A
2	N21	EMD	N21	N/A
2	O2	CHD3	O02	N/A
2	O3	MNAT1	O03	N/A
2	O4	SIRT4	O04	N/A
2	O5	PARP12	O05	N/A
2	O6	UHRF1	O06	N/A
2	O7	MBD3L2	O07	N/A
2	O8	HIST1H2AA	O08	N/A
2	O9	M1AP	O09	N/A
2	O10	ARID1B	O10	N/A
2	O11	NUP160	O11	N/A
2	O12	RNF4	O12	N/A
2	O13	NUP85	O13	N/A
