Plate	Well2	GeneSymbol	Well	GeneID
3	M13	L3MBTL1	M13	N/A
3	M14	HIST1H2AC	M14	N/A
3	M15	CTNNB1	M15	N/A
3	M16	HMGA1	M16	N/A
3	M17	KAT6B	M17	N/A
3	M18	PRMT2	M18	N/A
3	M19	CITED1	M19	N/A
3	M20	FBXO18	M20	N/A
3	N2	EHMT1	N02	N/A
3	N3	DPF3	N03	N/A
3	N4	AICDA	N04	N/A
3	N5	NUP62	N05	N/A
3	N6	USP21	N06	N/A
3	N7	PRDM4	N07	N/A
3	N8	HIST1H2AH	N08	N/A
3	N9	MBTD1	N09	N/A
3	N10	HIST1H1C	N10	N/A
3	N11	PCGF5	N11	N/A
3	N12	DDX5	N12	N/A
3	N13	ATAD2B	N13	N/A
3	N14	ERCC2	N14	N/A
3	N15	BRD8	N15	N/A
3	N16	MTA3	N16	N/A
3	N17	SMARCA2	N17	N/A
3	N18	CENPV	N18	N/A
3	N19	SGF29	N19	N/A
3	N20	PRKRA	N20	N/A
3	O2	NUP93	O02	N/A
3	O3	RSF1	O03	N/A
3	O4	NUPR2	O04	N/A
3	O5	SUV39H1	O05	N/A
3	O6	BRD3	O06	N/A
3	O7	UBE2B	O07	N/A
3	O8	NUP98	O08	N/A
3	O9	PRDM14	O09	N/A
3	O10	WAPL	O10	N/A
3	O11	JARID2	O11	N/A
3	O12	KDM1B	O12	N/A
3	O13	TOP1	O13	N/A
3	O14	MAU2	O14	N/A
3	O15	PCLAF	O15	N/A
3	O16	BAHCC1	O16	N/A
3	O17	TARBP2	O17	N/A
3	O18	MGMT	O18	N/A
3	O19	BRD9	O19	N/A
3	O20	EGFR	O20	N/A
4	B2	SOX30	B02	N/A
4	B3	SOX1	B03	N/A
4	B4	FANCL	B04	N/A
4	B5	TAF1	B05	N/A
4	B6	WDR5B	B06	N/A
4	B7	BUB1B	B07	N/A
4	B8	DCTN2	B08	N/A
4	B9	GPATCH11	B09	N/A
4	B10	MTBP	B10	N/A
4	B11	PMF1	B11	N/A
4	B13	SGO1	B13	N/A
4	B14	TEX14	B14	N/A
4	B15	PTBP3	B15	N/A
4	B16	ORC6	B16	N/A
4	B17	PAWR	B17	N/A
4	B18	SMC4	B18	N/A
4	B19	ICE2	B19	N/A
4	B20	NOC2L	B20	N/A
4	C2	SOX12	C02	N/A
4	C3	SOX4	C03	N/A
4	C4	FAAP100	C04	N/A
4	C5	PELP1	C05	N/A
4	C6	PHC3	C06	N/A
4	C7	BUB3	C07	N/A
4	C8	DCTN3	C08	N/A
4	C9	HSF1	C09	N/A
4	C10	NDC80	C10	N/A
4	C11	PPP1CC	C11	N/A
4	C13	SGO2	C13	N/A
4	C14	TP53BP1	C14	N/A
4	C15	MAD2L2	C15	N/A
4	C16	MCM2	C16	N/A
4	C17	ELK4	C17	N/A
4	C18	SMC5	C18	N/A
4	C19	NRIP1	C19	N/A
4	C20	RSL1D1	C20	N/A
4	D2	SOX11	D02	N/A
4	D3	SOX18	D03	N/A
4	D4	FANCA	D04	N/A
4	D5	TAF7	D05	N/A
4	D6	PCGF6	D06	N/A
4	D7	CDCA8	D07	N/A
4	D8	DCTN4	D08	N/A
4	D9	IKZF1	D09	N/A
4	D10	NDE1	D10	N/A
4	D11	PPP1R12A	D11	N/A
4	D13	SKA1	D13	N/A
4	D14	TRAPPC12	D14	N/A
4	D15	GSG2	D15	N/A
4	D16	MCM3	D16	N/A
4	D17	TP73	D17	N/A
4	D18	SMC6	D18	N/A
4	D19	NR0B1	D19	N/A
4	D20	GNL3	D20	N/A
4	E2	SOX14	E02	N/A
4	E3	SOX21	E03	N/A
4	E4	FANCE	E04	N/A
4	E5	TAF9	E05	N/A
4	E6	SCML2	E06	N/A
4	E7	CDT1	E07	N/A
4	E8	DCTN5	E08	N/A
4	E9	KIF18A	E09	N/A
4	E10	NDEL1	E10	N/A
4	E11	PPP2CA	E11	N/A
4	E13	SKA2	E13	N/A
4	E14	TTK	E14	N/A
4	E15	TP53BP1	E15	N/A
4	E16	MCM4	E16	N/A
4	E17	MYC	E17	N/A
4	E18	STAG3	E18	N/A
4	E19	GATAD2A	E19	N/A
4	F2	SOX3	F02	N/A
4	F3	SRY	F03	N/A
4	F4	FANCG	F04	N/A
4	F5	SENP3	F05	N/A
4	F6	YY2	F06	N/A
4	F7	CENPE	F07	N/A
4	F8	DCTN6	F08	N/A
4	F9	KIF22	F09	N/A
4	F10	NEK2	F10	N/A
4	F11	PPP2CB	F11	N/A
4	F13	SKA3	F13	N/A
4	F14	UVRAG	F14	N/A
4	F15	BECN1	F15	N/A
4	F16	MCM5	F16	N/A
4	F17	RELA	F17	N/A
4	F18	PTTG1	F18	N/A
4	F19	RB1	F19	N/A
4	G2	SOX2	G02	N/A
4	G3	SOX9	G03	N/A
4	G4	SS18	G04	N/A
4	G5	PAGR1	G05	N/A
4	G6	ASXL3	G06	N/A
4	G7	CENPS	G07	N/A
4	G8	DSN1	G08	N/A
4	G9	KIF2B	G09	N/A
4	G10	NGDN	G10	N/A
4	G11	PPP2R1A	G11	N/A
4	G13	SNAI1	G13	N/A
4	G14	XPO1	G14	N/A
4	G15	CDC20	G15	N/A
4	G16	MCM6	G16	N/A
4	G17	FOS	G17	N/A
4	G18	PPARGC1A	G18	N/A
4	G19	SRCAP	G19	N/A
4	H2	SOX13	H02	N/A
4	H3	SOX5	H03	N/A
4	H4	GLTSCR1	H04	N/A
4	H5	TAF4	H05	N/A
4	H6	ASXL2	H06	N/A
4	H7	CENPX	H07	N/A
4	H8	DYNC1I1	H08	N/A
4	H9	KIF2C	H09	N/A
4	H10	NSL1	H10	N/A
4	H11	PPP2R5A	H11	N/A
4	H13	SPAG5	H13	N/A
4	H14	ZNF207	H14	N/A
4	H15	MAPRE1	H15	N/A
4	H16	MCM7	H16	N/A
4	H17	NCAPG2	H17	N/A
4	H18	SPRTN	H18	N/A
4	H19	GATAD2B	H19	N/A
4	I2	SOX8	I02	N/A
4	I3	CIC	I03	N/A
4	I4	ACTL6A	I04	N/A
4	I5	TAF6	I05	N/A
4	I6	ANAPC16	I06	N/A
4	I7	CHAMP1	I07	N/A
4	I8	DYNC1LI1	I08	N/A
4	I9	KNSTRN	I09	N/A
4	I10	NUDCD2	I10	N/A
4	I11	PPP2R5C	I11	N/A
4	I13	SPC24	I13	N/A
4	I14	ZNF276	I14	N/A
4	I15	PRPF4B	I15	N/A
4	I16	MCM8	I16	N/A
4	I17	NCAPH	I17	N/A
4	I18	SFPQ	I18	N/A
4	I19	TARDBP	I19	N/A
4	J2	SOX10	J02	N/A
4	J3	HBP1	J03	N/A
4	J4	DPF1	J04	N/A
4	J5	LAS1L	J05	N/A
4	J6	APC	J06	N/A
4	J7	CKAP5	J07	N/A
4	J8	DYNC1LI2	J08	N/A
4	J9	KNTC1	J09	N/A
4	J10	NUF2	J10	N/A
4	J11	RANGAP1	J11	N/A
4	J13	SPC25	J13	N/A
4	J14	ZNF330	J14	N/A
4	J15	SENP6	J15	N/A
4	J16	MCM9	J16	N/A
4	J17	NCAPH2	J17	N/A
4	J18	H1F0	J18	N/A
4	J19	C17orf49	J19	N/A
4	K2	TCF7L2	K02	N/A
4	K3	HMGXB4	K03	N/A
4	K4	GLTSCR1L	K04	N/A
4	K5	E2F6	K05	N/A
4	K6	BIRC5	K06	N/A
4	K7	CLASP1	K07	N/A
4	K8	DYNLL1	K08	N/A
4	K9	H2AFY	K09	N/A
4	K10	ORC2	K10	N/A
4	K11	RASSF2	K11	N/A
4	K13	SPDL1	K13	N/A
4	K14	ZNF618	K14	N/A
4	K15	TCOF1	K15	N/A
4	K16	MCM10	K16	N/A
4	K17	SMC2	K17	N/A
4	K18	SRPK1	K18	N/A
4	K19	WDR46	K19	N/A
4	L2	SOX6	L02	N/A
4	L3	BBX	L03	N/A
4	L4	ACTL6B	L04	N/A
4	L5	MAX	L05	N/A
4	L6	BOD1	L06	N/A
4	L7	CLASP2	L07	N/A
4	L8	DYNLT3	L08	N/A
4	L9	MAD1L1	L09	N/A
4	L10	PAFAH1B1	L10	N/A
4	L11	RCC2	L11	N/A
4	L13	SUGT1	L13	N/A
4	L14	ZW10	L14	N/A
4	L15	ORC1	L15	N/A
4	L16	RAD52	L16	N/A
4	L17	RAD21L1	L17	N/A
4	L18	SMAD6	L18	N/A
4	L19	NCL	L19	N/A
4	M2	SOX15	M02	N/A
4	M3	FANCF	M03	N/A
4	M4	ZNHIT1	M04	N/A
4	M5	EPOP	M05	N/A
4	M6	BOD1L1	M06	N/A
4	M7	CLIP1	M07	N/A
4	M8	ERCC6L	M08	N/A
4	M9	MAD2L1	M09	N/A
4	M10	PELI1	M10	N/A
4	M11	SEPT2	M11	N/A
4	M13	SYCP1	M13	N/A
4	M14	ZWILCH	M14	N/A
4	M15	ORC3	M15	N/A
4	M16	CCNB1	M16	N/A
4	M17	NCAPG	M17	N/A
4	M18	AKAP8L	M18	N/A
4	M19	MKI67	M19	N/A
4	N2	SOX17	N02	N/A
4	N3	FANCB	N03	N/A
4	N4	CSNK2A1	N04	N/A
4	N5	HCFC1	N05	N/A
4	N6	BOD1L2	N06	N/A
4	N7	CSNK1A1	N07	N/A
4	N8	FBXO28	N08	N/A
4	N9	MEIKIN	N09	N/A
4	N10	PHF6	N10	N/A
4	N11	SEPT6	N11	N/A
4	N13	SYCP2L	N13	N/A
4	N14	ZWINT	N14	N/A
4	N15	ORC4	N15	N/A
4	N16	DDX23	N16	N/A
4	N17	REC8	N17	N/A
4	N18	ANKRD2	N18	N/A
4	N19	TP53	N19	N/A
4	O2	SOX7	O02	N/A
4	O3	FAAP20	O03	N/A
4	O4	TEX10	O04	N/A
4	O5	MGA	O05	N/A
4	O6	BUB1	O06	N/A
4	O7	DCTN1	O07	N/A
4	O8	FBXW11	O08	N/A
4	O9	MIS12	O09	N/A
4	O10	PINX1	O10	N/A
4	O11	SEPT7	O11	N/A
4	O13	SYCP3	O13	N/A
4	O14	KNL1	O14	N/A
4	O15	ORC5	O15	N/A
4	O16	EME1	O16	N/A
4	O17	SMC1B	O17	N/A
4	O18	CTR9	O18	N/A
4	O19	NPM3	O19	N/A
